,water,Longitude,Latitude
1,39.36395366,-73.767764,45.385611
2,55.61168112,-91.269127,43.602429
3,79.44308434,-77.308137,44.145981
4,0.075280106,-73.754794,45.385391
5,78.06628831,-90.173187,42.054322
6,64.53586115,-83.189011,42.055384
7,7.022035425,-78.257667,43.365867
8,3.387955008,-76.960612,42.680488
9,79.80252222,-73.297358,44.241046
10,1.386561244,-79.874374,43.295008
11,17.92623536,-72.449805,43.190942
12,47.78629826,-79.557811,42.848628
13,21.81844421,-75.484625,45.49913
14,37.10414756,-76.219475,44.789322
15,71.72426938,-73.445017,45.64591
16,41.51591885,-73.24257,45.856205
17,7.57838379,-80.58577,43.478253
18,50.58153831,-79.54437,43.577793
19,0.107979919,-73.164986,46.082183
20,31.72504971,-82.791499,42.581205
21,47.63829092,-78.172932,44.565067
22,11.02788986,-90.728135,42.667926
23,31.99937607,-76.681537,43.059317
24,32.91772767,-73.234611,44.399551
25,30.41570317,-88.519421,44.02134
26,88.03439249,-82.796555,41.665121
27,23.0156704,-76.266259,45.461493
28,8.956609965,-95.781491,50.372597
29,65.62132912,-81.945367,42.262861
30,17.35375454,-83.182188,41.618835
31,63.38279176,-73.237312,45.876938
32,0.225282123,-88.228595,41.422325
33,51.70368561,-81.710927,41.501447
34,99.46141963,-73.24268,44.920762
35,28.28606553,-78.980129,43.058267
36,24.14275954,-76.497192,44.155258
37,55.7473111,-76.148675,44.068283
38,23.96450064,-96.596657,50.570139
39,98.77005461,-77.675761,43.998
40,1.936863212,-71.919944,45.391378
41,59.40240409,-80.080025,42.170883
42,2.529450597,-75.977656,44.288726
43,86.29710997,-76.213303,44.030078
44,49.97194668,-73.194057,44.581598
45,55.30790532,-83.342308,38.647362
46,7.703971507,-79.267969,43.19514
47,52.55052707,-73.354314,44.938326
48,49.11008452,-77.221048,43.898694
49,61.83979203,-80.145752,42.126321
50,50.80337254,-83.333763,41.919517
51,17.18015471,-85.74782,42.939247
52,81.05359171,-76.135425,44.856629
53,29.67774861,-92.962253,45.267468
54,5.004363942,-72.94097,46.091281
55,29.87080693,-83.355956,41.684586
56,53.81342154,-75.397904,43.300477
57,0.008771193,-68.778819,44.810748
58,2.86596089,-83.219224,42.036896
59,60.38027981,-73.268739,44.360461
60,83.36351633,-73.241103,44.625847
61,37.6870905,-76.73764,42.973955
62,16.40421929,-73.521398,45.68862
63,2.133034206,-83.36914,40.709705
64,7.167054267,-78.964929,43.852887
65,28.27854893,-73.366107,43.7159
66,45.35680044,-83.847585,42.462319
67,76.84553184,-93.580241,44.903621
68,12.08802485,-87.788919,42.139763
69,16.2935871,-75.108449,45.59892
70,26.00340504,-82.804937,42.575365
71,43.15647114,-90.131848,41.901693
72,1.119569019,-83.93712,42.4266
73,53.46760165,-90.182906,41.937489
74,35.01522117,-94.773746,49.706718
75,2.656799598,-79.606965,43.517508
76,32.85855927,-73.313884,44.222268
77,49.6934841,-90.342423,41.583496
78,55.64250232,-83.401389,41.845093
79,51.70918807,-76.225263,44.184328
80,12.34891304,-83.195331,42.067378
81,28.78012869,-76.465425,44.268847
82,53.15399366,-76.78,45.771
83,49.6292265,-73.145793,44.781542
84,31.74434037,-114.032452,47.87639
85,23.25080274,-73.458447,45.599352
86,3.211590641,-73.161198,46.068643
87,33.5865827,-73.217567,44.407228
88,37.16215575,-82.710739,42.296426
89,61.33448443,-73.279149,44.246387
90,45.97398943,-78.989191,43.829597
91,56.96301302,-80.093734,42.160379
92,57.51164019,-80.123195,42.153356
93,97.61089812,-80.063592,42.169406
94,22.47067253,-83.131251,41.607067
95,7.618025402,-83.153346,41.604704
96,98.37015422,-82.80527,41.552115
97,22.514855,-83.25073,41.644838
98,61.80896491,-73.347248,44.665441
99,31.14855484,-78.488037,43.124528
100,50.84079994,-79.396234,44.84607
101,48.26999325,-73.732021,42.823192
102,61.62404928,-76.547557,42.538752
103,48.50021472,-76.611355,44.234843
104,45.8849423,-78.786569,43.869905
105,31.83731245,-76.553024,45.536628
106,44.4439435,-73.329801,44.866368
107,53.27240162,-75.88759,45.366186
108,29.78158864,-76.724804,44.769719
109,29.8458604,-78.191642,43.371262
110,39.72373006,-73.693163,42.775954
111,0.000816847,-77.320077,44.487425
112,72.74916714,-119.139039,45.922043
113,6.215354245,-76.237472,44.781864
114,22.21611321,-76.06266,44.350395
115,3.979021676,-76.042785,44.534976
116,38.17908072,-76.01727,44.546227
117,0.393214095,-83.380396,41.679227
118,18.00467753,-82.773323,41.508144
119,8.641620173,-116.691193,48.21875
120,57.40753508,-79.070796,43.068488
121,96.92662464,-73.302856,44.557072
122,14.36126717,-77.719285,43.994598
123,82.45587165,-73.278412,44.532683
124,43.51537438,-76.242186,43.526302
125,65.23812707,-73.169543,44.98993
126,11.76448542,-83.193465,41.60612
127,41.83685204,-74.99467,44.986423
128,38.69213344,-76.220913,44.85656
129,29.97875358,-94.821268,50.120709
130,34.87138035,-76.958113,43.236867
131,2.778700529,-77.731662,43.31243
132,60.39633653,-83.343095,41.911759
133,48.69971955,-82.615344,41.420953
134,42.87706545,-77.716616,43.304615
135,29.44785617,-81.33934,41.727255
136,48.10243684,-82.410706,42.463295
137,75.18755681,-73.314277,44.747711
138,38.64081112,-73.091568,45.069855
139,6.950605933,-73.268167,44.961688
140,2.487416626,-73.391656,43.570854
141,47.36024395,-73.221077,44.475778
142,68.90452968,-88.01567,44.587977
143,49.4664255,-73.398987,44.023796
144,64.93679948,-77.714938,44.022241
145,39.16399373,-95.9246,50.3466
146,28.48617745,-82.463557,42.834076
147,5.601678772,-83.209612,41.607501
148,42.94716709,-94.595222,50.141084
149,96.90328222,-93.437065,47.304035
150,6.93905294,-83.034677,41.49545
151,57.51492617,-91.39748,43.96439
152,87.82728613,-91.32282,43.88268
153,18.10069946,-72.434,43.26067
154,28.01238464,-88.53333,43.98333
155,40.89188422,-88.22003,45.02544
156,65.24599721,-87.832,44.885
157,16.7445964,-88.58834,45.32612
158,34.91240815,-89.664,45.867
159,78.12640519,-88.796,44.176
160,4.787996668,-88.157,44.872
161,25.13560301,-88.061,44.863
162,32.7112068,-116.2413,48.185
163,42.10602214,-116.2378,48.1763
164,1.453312798,-71.14996,42.45639
165,100,-81.22667,42.15246
166,70.5106571,-75.04486,44.93272
167,24.83036396,-73.40047,43.5585
168,79.65335692,-93.09856,45.15191
169,52.32394007,-83.33336,41.90387
170,71.14045682,-73.36189,43.79291
171,68.09224261,-83.10402,42.28785
172,95.89814231,-89.69358,45.87244
173,64.59500301,-93.1489,47.2533
174,77.87999069,-92.9311,45.2625
175,47.73872492,-88.5839,45.2836
176,100,-91.31101,46.01384
177,69.02936887,-88.0672,44.8536
178,27.06902889,-93.04939,45.19317
179,83.29924863,-95.85255,46.77885
180,36.84138829,-95.87644,46.7819
181,52.72000555,-93.315,47.3075
182,0.359008975,-93.16054,47.23909
183,91.28799409,-93.3611,44.2614
184,82.17947514,-93.3419,44.28945
185,83.35675304,-114.1503,48.08079
186,100,-114.16442,48.03264
187,100,-114.13421,48.0083
188,43.46358287,-83.21604,41.6156
189,41.17517788,-95.90326,46.72398
190,97.42911928,-114.398,47.9267
191,90.97573258,-115.72105,47.95407
192,94.27312111,-93.6413,44.91496
193,100,-83.14965,42.04116
194,24.77775243,-93.31967,46.788
195,36.6934526,-93.5735,44.22441
196,53.39348771,-93.5405,44.22607
197,63.77360777,-76.19429,43.70018
198,74.51868875,-77.66731,43.28133
199,72.68999609,-83.44,41.77
200,8.100002359,-83.1,41.58
201,38.51701935,-77.43796,44.50252
202,71.78759459,-94.68227,49.99924
203,10.34239897,-115.82378,48.0116
204,16.8749161,-115.33996,47.58996
205,100,-93.62892,44.91261
206,50.56016212,-94.98308,45.85913
207,7.853184392,-114.2324,47.6762
208,12.72271361,-93.2004,44.90887
209,9.437492555,-77.59678,44.26418
210,25.87277035,-78.10385,44.56115
211,0.192800089,-76.38577,44.20256
212,53.95910926,-90.05736,48.2306
213,12.78947707,-80.81701,42.64581
214,54.23640334,-78.88527,44.58475
215,72.38062034,-78.6219,44.49926
216,31.63263013,-75.97358,44.34722
217,39.06599372,-90.17248,42.14295
218,17.07165415,-77.05099,43.91872
219,84.65616962,-79.37176,43.18379
220,75.23858328,-77.37019,44.1364
221,99.54999982,-116.54,48.25
222,88.45918176,-119.2978,45.93653
223,70.61971144,-82.45279,42.48648
224,1.589803866,-77.77633,44.37268
225,55.85263534,-82.68229,41.73762
226,100,-82.85639,41.8124
227,54.40356925,-82.5049,41.96795
228,57.61642294,-77.2809,44.47819
229,38.60481875,-81.46074,42.59653
230,35.60827214,-77.34885,44.16531
231,54.62177668,-82.74031,42.02522
232,45.21202428,-77.0607,44.16165
233,56.28934759,-76.89413,45.81647
234,48.90572494,-79.32675,43.18106
235,66.53508559,-79.01752,43.06209
236,53.43146635,-79.30779,42.87544
237,57.67410089,-79.19608,42.86823
238,29.67493134,-79.16445,42.87661
239,51.87843274,-78.92234,42.89256
240,100,-81.89245,42.25951
241,69.19090588,-90.12764,42.01861
242,100,-90.13916,41.97702
243,78.65368028,-90.15589,42.04858
244,34.22279974,-90.14101,42.0302
245,12.48765757,-90.46909,42.3878
246,100,-90.14704,41.98983
247,97.06368877,-90.17614,41.94597
248,68.25958454,-90.18294,42.07897
249,33.6414096,-90.18242,42.09066
250,60.0721373,-89.74256,45.87414
251,29.41045099,-89.75232,45.85986
252,43.37017898,-89.73789,45.85861
253,68.63260617,-89.72755,45.86752
254,48.45064871,-90.90474,42.68878
255,63.46817205,-90.81558,42.67513
256,31.78118601,-90.40958,42.34361
257,48.47359217,-78.9275,42.9423
258,0.599999384,-78.2365,44.4825
259,100,-90.00514,48.22766
260,52.88669749,-95.86638,46.78965
261,100,-95.82623,46.7895
262,61.74490099,-93.05359,45.13045
263,3.230000615,-94.91903,45.86021
264,29.35622707,-77.69987,44.03063
265,71.14399302,-82.4905,42.02632
266,11.32185657,-88.1995,45.30899
267,18.0722068,-115.32589,47.58907
268,40.74292307,-114.12231,48.06739
269,0.510489341,-114.14765,48.13098
270,5.448847711,-114.14606,48.14056
271,33.05435858,-114.77673,53.6182
272,32.3771775,-114.76056,53.59863
273,43.68302627,-90.91924,42.69306
274,32.5884961,-94.91978,45.82842
275,78.98537272,-118.98091,46.12128
276,93.51327313,-93.01556,45.11994
277,100,-93.29013,46.75432
278,78.12652436,-95.91923,46.71979
279,90.22072944,-92.94933,45.27076
280,84.72288914,-93.52726,44.26435
281,58.43156813,-93.96225,45.23578
282,100,-93.60867,44.93154
283,33.62464918,-95.7318,46.87479
284,25.7979541,-94.93964,45.78113
285,41.99672315,-93.32096,47.2988
286,86.54824409,-93.57599,47.49033
287,22.85595866,-93.48257,44.21587
288,95.73816079,-93.60528,44.22923
289,94.36668551,-93.40656,47.26118
290,0.171898265,-93.22161,44.91571
291,83.6145494,-92.97488,44.51437
292,74.84322266,-93.02065,44.80364
293,60.68718988,-92.99636,44.79486
294,94.36432451,-93.00749,44.78361
295,80.287095,-92.96724,44.78763
296,15.10389343,-93.93599,45.24257
297,100,-95.89211,46.74269
298,100,-95.89417,46.77468
299,46.60655325,-82.58132,42.01827
300,4.233583081,-94.55902,49.76337
301,51.36252764,-114.77798,53.59346
302,73.58776045,-92.98846,44.76239
303,21.7796631,-96.1583,41.16935
304,3.518556039,-94.9134,45.84524
305,34.61495292,-114.6546,53.64106
306,72.80012635,-112.86176,42.79523
307,34.71458825,-112.83537,42.80696
308,30.44839352,-112.86548,42.78133
309,10.35763134,-113.6409,50.9213
310,88.42356724,-95.82043,46.20568
311,60.22330399,-93.25706,46.77525
312,41.0924166,-113.82202,51.0321
313,6.410242179,-113.81691,51.05144
314,7.856162467,-113.7985,51.07497
315,20.79360999,-113.81909,51.01748
316,22.85213663,-113.81903,51.04167
317,11.5029254,-74.53459,45.08317
318,52.53621233,-112.72325,43.02717
319,16.10510351,-112.70236,43.05944
320,28.18038883,-112.72348,43.03696
321,17.01322152,-111.09635,50.05279
322,0.327489743,-111.11741,50.06419
323,4.432439968,-111.17893,50.05823
324,11.53341514,-111.19205,50.0548
325,18.24127019,-111.50163,49.9166
326,4.641042107,-111.58826,49.90554
327,17.70095187,-111.60817,49.9004
328,25.20161857,-111.62215,49.89881
329,39.22423316,-110.00873,50.90389
330,1.133224009,-110.02332,50.90032
331,17.09726216,-112.6178,50.7682
332,54.88947977,-114.80151,53.59922
333,50.6568347,-114.75518,53.61043
334,45.84425347,-114.73843,53.61694
335,48.43152926,-114.7134,53.62481
336,17.69254785,-114.69792,53.62195
337,37.49650775,-114.65677,53.65075
338,25.63170683,-114.68455,53.65347
339,54.71539384,-114.70497,53.64717
340,39.4264772,-114.72449,53.6437
341,59.02376788,-114.73422,53.63461
342,44.18022114,-114.75036,53.63257
343,3.169354925,-114.63949,53.65197
344,58.14022289,-114.67718,53.63298
345,44.08070656,-114.78797,53.60519
346,51.33864641,-114.76519,53.62576
347,17.7333222,-83.59673,41.60134
348,13.18441427,-83.98435,42.43382
349,4.148084798,-76.03449,44.50826
350,57.79612659,-76.50832,42.46007
351,46.2441545,-116.54389,48.2725
352,15.10992405,-78.92583,43.855
353,18.32794722,-76.01545,44.49264
354,42.84554619,-76.20898,44.78427
355,86.75961412,-88.67814,44.07594
356,19.58152555,-77.76025,44.3761
357,28.95856648,-77.56987,44.10171
358,8.934579335,-94.66091,50.01458
359,41.0267178,-94.70179,50.01011
360,67.49194074,-94.70599,49.9941
361,29.02117938,-94.7289,49.99298
362,72.13347765,-95.54392,45.82822
363,74.32023623,-94.67826,50.02199
364,71.73731589,-94.67459,50.03084
365,41.52718515,-112.67994,43.01942
366,57.7724059,-112.63216,42.98972
367,66.19843843,-112.64565,42.99145
368,57.42717976,-112.61603,42.97979
369,98.5779975,-112.6128,42.96875
370,39.61324142,-112.8467,42.80329
371,25.44791734,-112.81244,42.82322
372,41.61484398,-112.65882,43.00751
373,91.03680427,-112.67139,43.00639
374,44.97239539,-119.173,45.918
375,62.56399556,-119.219,45.9228
376,45.89999538,-119.157,45.92
377,55.23686844,-82.86809,42.32518
378,100,-91.56912,44.0385
379,35.42468004,-91.91021,44.26111
380,68.3663968,-90.39078,41.57
381,54.01619975,-91.89692,44.28411
382,100,-88.66051,44.07103
383,14.87176402,-89.6694,43.37242
384,48.58525311,-91.22809,43.74425
385,63.90081563,-91.76561,44.15254
386,73.92251268,-94.68295,50.01256
387,11.30200105,-94.57515,49.7483
388,4.63139124,-94.6619,49.72336
389,55.48307196,-86.74839,41.61018
390,64.21609536,-119.06338,45.9652
391,58.95771211,-119.28883,45.94567
392,74.44928459,-118.93453,46.05393
393,100,-118.93222,46.09409
394,56.96573966,-119.2719,45.93135
395,66.16264493,-119.25595,45.93159
396,100,-119.60711,45.90821
397,82.50937549,-120.02557,45.7946
398,69.69254019,-120.16952,45.7521
399,68.04117961,-120.06542,45.77764
400,44.83811736,-119.374,45.92798
401,38.58039431,-119.35108,45.93328
402,43.9620077,-119.33771,45.93319
403,51.63084025,-119.56701,45.93723
404,50.82037588,-119.55215,45.93358
405,95.43621628,-119.56229,45.92663
406,70.24848251,-119.54018,45.91794
407,59.64000199,-119.50644,45.9115
408,43.6772553,-119.49249,45.91049
409,52.67369138,-119.60063,45.93231
410,58.57841872,-119.61278,45.92748
411,63.65155676,-119.6289,45.92169
412,47.94237966,-119.65185,45.91281
413,38.7147389,-119.67405,45.90348
414,100,-119.62096,45.91075
415,98.47074766,-119.63808,45.91027
416,42.77000426,-119.89238,45.83825
417,68.04542425,-120.13288,45.78203
418,46.49932119,-119.92848,45.83645
419,47.16774542,-120.49401,45.70475
420,51.09343924,-120.53112,45.73025
421,73.64051024,-118.95764,46.13683
422,63.37135181,-118.95766,46.15384
423,49.39218975,-118.97344,46.15835
424,59.11328854,-118.98309,46.17017
425,46.65532117,-118.99353,46.17731
426,75.96878057,-119.01007,46.18097
427,24.74155553,-119.01221,46.19006
428,29.08085943,-118.91531,46.06089
429,74.3562026,-118.94624,46.13119
430,59.95080556,-118.94299,46.15221
431,82.26277547,-118.94862,46.14404
432,4.534992934,-93.56393,44.96323
433,19.41391377,-91.24405,43.74653
434,37.26777992,-91.23228,43.73515
435,64.1723814,-91.22478,43.66227
436,100,-91.2598,43.66433
437,65.54616997,-91.21768,43.70266
438,100,-91.26053,43.61576
439,100,-91.26177,43.62833
440,84.1777961,-91.22538,43.67644
441,88.17769719,-91.22174,43.69257
442,100,-91.2303,43.69976
443,100,-91.9768,44.37254
444,71.00509059,-91.96281,44.37374
445,77.80490522,-91.27273,43.64255
446,82.17997158,-91.2346,43.57379
447,96.13049335,-92.64325,44.64791
448,15.47385943,-78.20175,45.11331
449,78.03985422,-76.1702,44.31273
450,100,-79.70786,42.84089
451,0.751909607,-76.57012,44.45762
452,49.93084979,-77.3052,44.47343
453,13.5184556,-83.03636,42.31494
454,70.3749883,-76.91434,44.15807
455,11.64645493,-77.70094,43.99583
456,1.358261627,-82.51508,41.98693
457,8.155126658,-76.22322,44.77768
458,82.79120241,-80.2775,42.5642
459,34.36720334,-82.84855,41.99663
460,59.72479568,-75.8125,45.35361
461,9.439226019,-76.62229,44.53843
462,40.43976747,-81.86407,42.25504
463,38.55199287,-75.82454,45.3499
464,0.217901156,-76.23795,44.54842
465,75.17360869,-79.39467,42.86472
466,27.12507011,-79.74281,44.92966
467,35.29169335,-77.70775,44.26152
468,72.10504351,-79.32719,43.62937
469,5.427168217,-82.41209,42.48544
470,71.44638799,-74.89843,44.99806
471,53.64838783,-81.85178,42.31413
472,50.19273724,-81.85809,42.30396
473,26.09721389,-82.60365,42.30299
474,76.82666263,-78.81248,43.87022
475,13.39312802,-76.86764,43.93656
476,18.33965427,-77.73533,44.01464
477,25.08382808,-75.78687,45.37263
478,15.66439376,-74.83401,45.62973
479,1.708063447,-78.80694,43.88139
480,26.38059173,-75.91795,44.39808
481,24.05279913,-78.14677,44.56691
482,76.75497738,-75.49889,45.50111
483,41.1923445,-77.36702,44.15926
484,33.63928616,-80.53549,42.57533
485,3.911526783,-83.01685,42.02893
486,17.66399577,-77.10778,45.825
487,32.7220334,-75.62836,45.46266
488,21.6244317,-79.91774,43.27484
489,0.894030898,-76.2129,45.47574
490,29.05097253,-82.62271,42.29854
491,83.58785133,-76.47251,44.25006
492,39.29274235,-75.74989,45.40671
493,22.49918413,-76.48058,44.23774
494,73.48770446,-79.33569,43.62235
495,12.65000139,-75.63,45.1
496,0.805787184,-81.84895,42.34047
497,40.73043154,-76.00623,44.50552
498,17.60443948,-76.16573,44.32753
499,68.67840634,-77.09149,43.86383
500,43.49523552,-77.5545,44.10263
501,81.55754333,-83.0457,42.03321
502,48.25870331,-79.61794,43.22333
503,7.338794796,-79.96143,42.81659
504,56.80866519,-78.79926,43.8708
505,54.07850008,-77.02713,45.73399
506,14.90804713,-76.25429,44.48265
507,68.99569216,-75.24597,45.57993
508,20.33199206,-82.73962,42.29679
509,43.45110934,-88.44222,43.79633
510,,-122.617671,53.032808
511,,-122.247636,49.145497
512,,-122.22429,49.146059
513,,-122.234461,49.155188
514,,-120.974041,49.784736
515,,-122.948691,50.141856
