"","species","decimallongitude","decimallatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateuncertaintyinmeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","scientificName"
"1","Eichhornia crassipes",151.484188,-33.257067,"cdround","AUS",NA,"PRESENT",1000,"NSW Dept of Planning, Industry and Environment","1069727462","https://biocache.ala.org.au/occurrences/58786d88-be29-4ae2-ae0c-307d68d932c0","HUMAN_OBSERVATION",2000,3,29,"2000-03-29T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"2","Eichhornia crassipes",-104.911323,38.666237,"cdround,ambinst,incomis","USA",NA,"PRESENT",1000,"COLO","2573429727","https://botanydb.colorado.edu:443/collections/individual/index.php?occid=23145","PRESERVED_SPECIMEN",2000,8,31,"2000-08-31T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"3","Eichhornia crassipes",12.550177,55.797878,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD","1342409036",NA,"PRESERVED_SPECIMEN",2000,10,22,"2000-10-22T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"4","Eichhornia crassipes",151.647095,-32.8179,"cdround","AUS",NA,"PRESENT",100,"NSW Dept of Planning, Industry and Environment","1073157807","https://biocache.ala.org.au/occurrences/44c51ca5-7406-43e1-9869-cd5f55b4ade3","HUMAN_OBSERVATION",1999,3,30,"1999-03-30T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"5","Eichhornia crassipes",151.760551,-32.730501,"cdround","AUS",NA,"PRESENT",100,"NSW Dept of Planning, Industry and Environment","1073160737","https://biocache.ala.org.au/occurrences/0a51f86e-c43f-436d-98a1-055f52dd0b66","HUMAN_OBSERVATION",1999,4,8,"1999-04-08T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"6","Eichhornia crassipes",151.75102,-32.719131,"cdround","AUS",NA,"PRESENT",100,"NSW Dept of Planning, Industry and Environment","1073161468","https://biocache.ala.org.au/occurrences/a974a516-9d7d-4534-bcdf-b8baad607731","HUMAN_OBSERVATION",1999,4,8,"1999-04-08T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"7","Eichhornia crassipes",152.891636,-29.684245,"cdround,inmano","AUS",NA,"PRESENT",50,"NSW Dept of Planning, Industry and Environment","1451573358","https://biocache.ala.org.au/occurrences/41168a4f-a0d0-499b-9824-1d6befc0b190","PRESERVED_SPECIMEN",1998,2,5,"1998-02-05T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"8","Eichhornia crassipes",152.890556,-29.685833,"cdround,colmafu,inmafu","AUS",NA,"PRESENT",50,"NSW","2828730759","https://biocache.ala.org.au/occurrences/18abeda3-5dfa-4ba4-bee8-3a080a54e0b9","PRESERVED_SPECIMEN",1998,2,5,"1998-02-05T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"9","Eichhornia crassipes",151.444742,-33.299834,"cdround","AUS",NA,"PRESENT",100,"NSW Dept of Planning, Industry and Environment","1074886821","https://biocache.ala.org.au/occurrences/1fa0f62c-fbb3-4163-a64c-9613fb9a614d","HUMAN_OBSERVATION",1998,3,7,"1998-03-07T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"10","Eichhornia crassipes",-95.216239,38.929383,"ambcol","USA",NA,"PRESENT",143,"KU","2857034306",NA,"PRESERVED_SPECIMEN",1998,9,9,"1998-09-09T00:00:00","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","Eichhornia crassipes (Mart.) Solms"
"11","Eichhornia crassipes",-112.164234,34.037277,"incomis,inmafu","USA",NA,"PRESENT",40,"ASU","2270577998","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6184285","PRESERVED_SPECIMEN",1997,10,10,"1997-10-10T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"12","Eichhornia crassipes",-112.161,34.0371,"gass84,incomis,inmafu","USA",NA,"PRESENT",700,"ASU","2270579228","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6184413","PRESERVED_SPECIMEN",1997,10,10,"1997-10-10T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"13","Eichhornia crassipes",150.698754,-33.613392,"cdround","AUS",40,"PRESENT",100,"NSW Dept of Planning, Industry and Environment","1069793813","https://biocache.ala.org.au/occurrences/eecb7e8b-8a92-4002-91c4-ed4f720565d4","HUMAN_OBSERVATION",1997,12,7,"1997-12-07T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"14","Eichhornia crassipes",-120.690339,35.266496,"","USA",NA,"PRESENT",1000,"OBI","2520678485","https://cch2.org/portal/collections/individual/index.php?occid=3775736","PRESERVED_SPECIMEN",1996,6,25,"1996-06-25T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"15","Eichhornia crassipes",141.669376,-3.974863,"cdround,gass84","PNG",NA,"PRESENT",244,"iNaturalist","2988608677","https://www.inaturalist.org/observations/61299944","HUMAN_OBSERVATION",1995,8,11,"1995-08-11T14:47:00","WGS84","iNaturalist research-grade observations","Pontederia crassipes Mart."
"16","Eichhornia crassipes",151.776049,-32.723623,"cdround","AUS",NA,"PRESENT",100,"NSW Dept of Planning, Industry and Environment","1067094128","https://biocache.ala.org.au/occurrences/964f6475-efb1-48c1-89c5-db7d72616592","HUMAN_OBSERVATION",1994,1,29,"1994-01-29T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"17","Eichhornia crassipes",-117.40418,34.20515,"colmafu,inmafu","USA",NA,"PRESENT",804,"RSA","2430418868","https://cch2.org/portal/collections/individual/index.php?occid=932886","PRESERVED_SPECIMEN",1994,10,9,"1994-10-09T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"18","Eichhornia crassipes",12.849205,56.660761,"gass84","SWE",NA,"PRESENT",25,"Hallands botaniska förening","1055250092",NA,"HUMAN_OBSERVATION",1993,9,4,"1993-09-04T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"19","Eichhornia crassipes",-5.01667,6.21667,"gass84,colmano,inmafu","CIV",NA,"PRESENT",707,"G","1144680402",NA,"PRESERVED_SPECIMEN",1992,2,14,"1992-02-14T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"20","Eichhornia crassipes",150.736107,-33.585628,"cdround","AUS",NA,"PRESENT",100,"NSW Office of Environment and Heritage","1072322788","https://biocache.ala.org.au/occurrences/0cfbf10d-4f89-4909-9827-fc5b95fdbcbb","HUMAN_OBSERVATION",1992,3,25,"1992-03-25T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"21","Eichhornia crassipes",150.74348,-33.592075,"cdround","AUS",NA,"PRESENT",100,"NSW Office of Environment and Heritage","1072322879","https://biocache.ala.org.au/occurrences/bb4c08f2-652d-4c91-942c-539d48c138e7","HUMAN_OBSERVATION",1992,5,11,"1992-05-11T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"22","Eichhornia crassipes",148.589444,-21.140278,"cdround,colmano,inmafu","AUS",NA,"PRESENT",100,"BRI","2418691852","https://biocache.ala.org.au/occurrences/7e0140f9-946c-4763-b470-9d28ea2af39f","PRESERVED_SPECIMEN",1992,NA,NA,"1992-01-01T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"23","Eichhornia crassipes",-3.186943,51.549015,"fpwktinv","GBR",NA,"PRESENT",7.1,"SEWBReC","2999653662",NA,"HUMAN_OBSERVATION",1991,4,27,"1991-04-27T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"24","Eichhornia crassipes",151.431916,-33.303987,"cdround","AUS",NA,"PRESENT",100,"NSW Dept of Planning, Industry and Environment","1072997816","https://biocache.ala.org.au/occurrences/107e12c3-389b-4d6b-9ca6-9d85b6021dc8","HUMAN_OBSERVATION",1991,12,2,"1991-12-02T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"25","Eichhornia crassipes",-94.544461,29.614505,"cdround,gass84","USA",NA,"PRESENT",3,"iNaturalist","3070687806","https://www.inaturalist.org/observations/72315859","HUMAN_OBSERVATION",1990,5,30,"1990-05-30T00:00:00","WGS84","iNaturalist research-grade observations","Pontederia crassipes Mart."
"26","Eichhornia crassipes",77.227875,28.690889,"cdround,gass84,colmano,inmano","IND",NA,"PRESENT",25,"naturgucker","1806065430",NA,"HUMAN_OBSERVATION",1989,4,10,"1989-04-10T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"27","Eichhornia crassipes",146.7167,-19.2667,"colmafu,inmafu","AUS",NA,"PRESENT",1000,"MEL","2434795221","https://biocache.ala.org.au/occurrences/0de44089-4e8a-4606-abc5-4ff82e5fc3ea","PRESERVED_SPECIMEN",1989,12,17,"1989-12-17T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"28","Eichhornia crassipes",145.0606,-37.8619,"colmafu,inmafu","AUS",NA,"PRESENT",1000,"MEL","2434590150","https://biocache.ala.org.au/occurrences/033fa925-4c4c-47f0-a840-42e988e19b78","PRESERVED_SPECIMEN",1988,4,14,"1988-04-14T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"29","Eichhornia crassipes",-75.958116,8.586415,"colmafu,inmafu","COL",NA,"PRESENT",44.12,"JBGP","1273757999",NA,"PRESERVED_SPECIMEN",1987,5,25,"1987-05-25T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"30","Eichhornia crassipes",-95.637358,30.561972,"cdround,gass84","USA",NA,"PRESENT",4,"iNaturalist","3031788743","https://www.inaturalist.org/observations/68559765","HUMAN_OBSERVATION",1986,9,24,"1986-09-24T00:00:00","WGS84","iNaturalist research-grade observations","Pontederia crassipes Mart."
"31","Eichhornia crassipes",30.951597,-17.96078,"gass84","ZWE",NA,"PRESENT",100,"iNaturalist","1802666167","https://www.inaturalist.org/observations/9075064","HUMAN_OBSERVATION",1982,4,29,"1982-04-29T10:21:00","WGS84","iNaturalist research-grade observations","Pontederia crassipes Mart."
"32","Eichhornia crassipes",30.96091,-17.934315,"gass84","ZWE",NA,"PRESENT",50,"iNaturalist","1802666229","https://www.inaturalist.org/observations/9075232","HUMAN_OBSERVATION",1982,4,14,"1982-04-14T12:23:00","WGS84","iNaturalist research-grade observations","Pontederia crassipes Mart."
"33","Eichhornia crassipes",-67.0995,18.01398,"gass84,colmafu","PRI",NA,"PRESENT",1000,"NY","1928633353","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1080825","PRESERVED_SPECIMEN",1982,7,NA,"1982-07-01T00:00:00","WGS84","Vascular plants","Eichhornia crassipes (Mart.) Solms"
"34","Eichhornia crassipes",147.534226,-19.731989,"cdround,colmafu,inmafu","AUS",NA,"PRESENT",1000,"AD","2828432755","https://biocache.ala.org.au/occurrences/705cd7c7-5d03-4a02-ab80-b473378d4a04","PRESERVED_SPECIMEN",1982,10,17,"1982-10-17T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"35","Eichhornia crassipes",-80.014385,32.930608,"colmano,inmafu","USA",NA,"PRESENT",873,"NCU","2234268844","https://sernecportal.org/portal/collections/individual/index.php?occid=10236153","PRESERVED_SPECIMEN",1981,5,20,"1981-05-20T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"36","Eichhornia crassipes",30.952636,-17.934538,"gass84","ZWE",NA,"PRESENT",30,"iNaturalist","1802666132","https://www.inaturalist.org/observations/9074940","HUMAN_OBSERVATION",1981,11,3,"1981-11-03T11:20:00","WGS84","iNaturalist research-grade observations","Pontederia crassipes Mart."
"37","Eichhornia crassipes",-82.592476,28.884126,"gass84","USA",NA,"PRESENT",199,"iNaturalist","2236201526","https://www.inaturalist.org/observations/18540037","HUMAN_OBSERVATION",1980,1,1,"1980-01-01T00:01:00","WGS84","iNaturalist research-grade observations","Pontederia crassipes Mart."
"38","Eichhornia crassipes",141.75,-15.5,"colmafu,inmafu","AUS",NA,"PRESENT",1000,"CANB","2828200600","https://biocache.ala.org.au/occurrences/b80b1678-1c81-4d85-98fa-f09d88ac098c","PRESERVED_SPECIMEN",1977,7,23,"1977-07-23T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"39","Eichhornia crassipes",-120.841438,37.367858,"gass84","USA",NA,"PRESENT",969,"CDA","3059666891","https://cch2.org/portal/collections/individual/index.php?occid=4069896","PRESERVED_SPECIMEN",1977,9,28,"1977-09-28T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"40","Eichhornia crassipes",-87.401856,32.106298,"colmano,inmafu","USA",NA,"PRESENT",969,"NCU","2234268902","https://sernecportal.org/portal/collections/individual/index.php?occid=10236616","PRESERVED_SPECIMEN",1977,10,9,"1977-10-09T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"41","Eichhornia crassipes",-90.77437,30.249178,"colmano,inmafu","USA",NA,"PRESENT",461,"NCU","2234268798","https://sernecportal.org/portal/collections/individual/index.php?occid=10236526","PRESERVED_SPECIMEN",1972,4,21,"1972-04-21T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"42","Eichhornia crassipes",150.2833,-28.1667,"colmafu,inmafu","AUS",NA,"PRESENT",1000,"CANB","2830226126","https://biocache.ala.org.au/occurrences/66f5822c-5681-406d-846f-717fe0dbb0ae","PRESERVED_SPECIMEN",1972,12,4,"1972-12-04T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
